순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
144;9788965421030;해커스 보카(Hackers Vocabulary)(개정판 2판);David Cho;해커스어학연구소;20150701;외국어;\16,900
145;9791186560655;미움받을 용기(특별 합본호)(한정판)(양장본 HardCover);기시미 이치로;인플루엔셜;20180302;인문;\19,800
146;9791162140505;편지할게요(러브레터 에디션);정영욱;부크럼;20191022;시/에세이;\14,000
147;9788917224702;ETS TOEIC(토익) Test 공식종합서 RC;ETS;YBM;20160506;외국어;\19,800
148;9791196025892;설민석의 무도 한국사 특강(개정판);설민석;휴먼큐브;20190129;역사/문화;\22,000
149;9791160504576;모두 거짓말을 한다;세스 스티븐스 다비도위츠;더퀘스트;20180617;경제/경영;\18,000
150;9791187512295;최강의 육아;트레이시 커크로;앵글북스;20180607;가정/육아;\15,000
151;9788932023151;비행운;김애란;문학과지성사;20120719;소설;\12,000
152;9788917224696;ETS TOEIC(토익) Test 공식종합서 LC;ETS;YBM;20160506;외국어;\19,800
153;9788954649896;그 겨울의 일주일;메이브 빈치;문학동네;20180112;소설;\14,800
154;9791129701701;클라우스 슈밥의 제4차 산업혁명 더 넥스트(The Next);클라우스 슈밥;새로운현재;20180405;경제/경영;\17,000
155;9791186805398;그릿(Grit);앤절라 더크워스;비즈니스북스;20161028;자기계발;\16,000
156;9791162540183;27년 동안 영어 공부에 실패했던 39세 김과장은 어떻게 3개월 만에 영어 천재가 됐을까;김영익;비즈니스북스;20180524;자기계발;\14,000
157;9788946420762;기다리는 행복;이해인;샘터(샘터사);20171222;시/에세이;\15,000
158;9791187498100;멈추면, 비로소 보이는 것들(개정판);혜민;수오서재;20170315;시/에세이;\14,800
159;9788950973971;워너원 포토 에세이: 우리 기억 잃어버리지 않게;CJ E&M;아르테팝(artePOP);20180427;시/에세이;\32,000
160;9791162203637;진작 할 걸 그랬어;김소영;위즈덤하우스;20180430;시/에세이;\14,800
161;9791162200902;취향을 설계하는 곳, 츠타야;마스다 무네아키;위즈덤하우스;20171121;경제/경영;\17,800
162;9788937437564;참을 수 없는 존재의 가벼움(양장본 HardCover);밀란 쿤데라;민음사;20180620;소설;\15,000
163;9791158551957;해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판);해커스 오픽연구소;해커스;20160712;외국어;\15,900
164;9788965420286;그래머 게이트웨이 베이직(Grammar GateWay Basic): 초보를 위한 기초 영문법(Light Version)(해커스)(3판);David Cho;해커스어학연구소;20130501;외국어;\12,900
