순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
87;9,78898E+12;그 후에;기욤 뮈소;밝은세상;20100603;소설;\11,500
88;9,78895E+12;김미경의 아트 스피치;김미경;21세기북스;20100528;자기계발;\15,000
89;9,78899E+12;1026(양장본 HardCover);김진명;새움;20100228;소설;\13,800
90;9,789E+12;네가 어떤 삶을 살든 나는 너를 응원할 것이다(양장본 HardCover);공지영;오픈하우스;20080324;시/에세이;\14,400
91;9,7889E+12;ENGLISH RESTART ADVANCED. 1 :스피킹편;I. A. RICHARDS;뉴런;20080707;외국어;\10,000
92;9,78897E+12;청춘불패: 이외수의 소생법;이외수;해냄출판사;20090520;시/에세이;\14,500
93;9,78894E+12;감정을 다스리는 사람 감정에 휘둘리는 사람;함규정;청림출판;20100705;자기계발;\12,000
94;9,78895E+12;너는 모른다(문학동네 장편소설);정이현;문학동네;20111227;소설;\13,000
95;9,78893E+12;화폐전쟁. 2(양장본 HardCover);쑹훙빙;랜덤하우스코리아;20100506;경제/경영;\20,000
96;9,78899E+12;서른과 마흔 사이;오구라 히로시;토네이도;20100920;자기계발;\12,000
97;9,78895E+12;아이의 사생활;EBS 아이의 사생활 제작팀;지식채널;20090729;가정/육아;\16,800
98;9,78896E+12;마켓 3.0;필립 코틀러;타임비즈;20100511;경제/경영;\14,000
99;9,78894E+12;위험한 심리학;송형석;청림출판;20091110;인문;\13,000
100;9,78899E+12;HACKERS TOEFL READING (iBT);David Cho;해커스어학연구소;20060626;외국어;\19,500
101;9,78898E+12;삐뽀삐뽀 119소아과(개정판 11판)(삐뽀삐뽀 시리즈 1);하정훈;그린비;20140510;가정/육아;\29,800
102;9,78894E+12;브레이킹 던: 트와일라잇 4부;스테프니 메이어;북폴리오;20090615;소설;\16,000
103;9,78896E+12;토마토 BASIC READING(토익이 가벼워지는)(2판)(필수단어암기장포함);이성룡;능률교육;20081010;외국어;\12,000
104;9,78898E+12;스님의 주례사;법륜;휴;20100913;종교;\12,000
105;9,78897E+12;아침의 문(2010 제 34회 이상문학상 작품집 대상수상작)(5판);박민규;문학사상;20100122;소설;\13,800
106;9,78893E+12;뜨거운 침묵;백지연;중앙북스;20100310;자기계발;\13,000
107;9,78052E+12;Basic Grammar in Use : With Answers (2/e(한국어판);RAYMOND MURPHY;케임브리지;20041208;외국어;\17,000
108;9,78896E+12;행복은 혼자 오지 않는다;에카르트 폰 히르슈하우젠;은행나무;20100830;자기계발;\17,000
109;9,78899E+12;내 영혼이 따뜻했던 날들(4판);포리스트 카터;아름드리미디어;20090327;소설;\9,000
110;9,78899E+12;경영학 콘서트;장영재;비즈니스북스;20100315;경제/경영;\13,800
111;9,78899E+12;사랑해 사랑해 사랑해(아기 그림책 보물창고 1)(양장본 HardCover);버나뎃 로제티 슈스탁;보물창고;20190325;유아(0~7세);\10,500
112;9,78893E+12;오두막;윌리엄 폴 영;세계사;20150826;소설;\13,800
113;9,78896E+12;불안;알랭 드 보통;이레;20051015;시/에세이;\13,000
114;9,78899E+12;명탐정의 규칙(양장본 HardCover);히가시노 게이고;재인;20100416;소설;\13,800
115;9,7889E+12;크로스(정재승 + 진중권);정재승;웅진지식하우스;20120901;인문;\14,000
116;9,78899E+12;해커스 그래머 스타트(Hackers Grammar Start);David Cho;해커스어학연구소;20040107;외국어;\16,900
117;9,78896E+12;죽은 왕녀를 위한 파반느(CD1장포함);박민규;예담;20090720;소설;\12,800
118;9,78899E+12;조선 왕을 말하다;이덕일;역사의아침;20100830;역사/문화;\15,000
119;9,7889E+12;청춘의 독서;유시민;웅진지식하우스;20091027;인문;\13,800
120;9,78895E+12;살아온 기적 살아갈 기적;장영희;샘터(샘터사);20090512;시/에세이;\11,000
121;9,78899E+12;해커스 텝스 READING: 문법ㆍ어휘ㆍ독해 기본에서 실전까지(단어암기장1권, 해설집1권포함);David Cho;해커스어학연구소;20081114;외국어;\22,900
122;9,78894E+12;이클립스(Eclipse): 트와일라잇 3부;스테프니 메이어;북폴리오;20081222;소설;\14,000
123;9,78896E+12;시원스쿨 기초 영단어;이시원;로그인;20091213;외국어;\10,000
124;9,78897E+12;지도 밖으로 행군하라;한비야;푸른숲;20050908;여행;\12,000
125;9,78897E+12;빨간 장화(양장본 HardCover);에쿠니 가오리;소담출판사;20100325;소설;\10,000
126;9,78896E+12;월든;헨리 데이빗 소로우;이레;20060520;시/에세이;\9,800
127;9,7889E+12;멀리 가려면 함께 가라;이종선;갤리온;20090812;자기계발;\14,000
128;9,78897E+12;악마의 백과사전(양장본 HardCover);박광수;홍익출판사;20100530;시/에세이;\13,800
129;9,78899E+12;Hackers TOEFL Listening(해커스 토플 리스닝)(2nd iBT Edition)(CD1장포함);David Cho;해커스어학연구소;20131118;외국어;\29,500
130;9,78899E+12;해커스 텝스 보카;David Cho;해커스어학연구소;20100104;외국어;\14,900
131;9,78893E+12;그 개는 무엇을 보았나;말콤 글래드웰;김영사;20100324;자기계발;\15,000
132;9,78895E+12;구름빵(5판)(마음씨앗 그림책 2)(양장본 HardCover);백희나;한솔수북;20070205;유아(0~7세);\11,000
133;9,78895E+12;말과 침묵(개정판);법정;샘터(샘터사);20100225;시/에세이;\8,500
134;9,78899E+12;그림으로 읽는 생생 심리학;이소라;그리고책;20080418;인문;\11,000
135;9,78898E+12;연금술사;파울로 코엘료;문학동네;20181205;소설;\9,500
